30121,F. Stanley,Best,2800 Cantrell Road,Little Rock,AR,72202,(501) 555-6079,(501) 555-6111,
30125,Duane A.,Maul,1502 East Walnut,Seguin,TX,78155,(210) 555-1483,(210) 555-1539,10000
30129,Alan J.,Rigas,Demishphere Center,Newark,NJ,07114,(201) 555-1311,(201) 555-1395,
30132,T. Peter,Murray,1070 East Main Street,Owosso,MI,48867,(517) 555-7364,(517) 555-7430,
30136,Carl E.,Shelton,411 First Avenue South,Oklahoma City,OK,73102,(405) 555-1168,(405) 555-1228,
30139,David,Golkin,422 Wards Corner Road,Phoenix,AZ,85012,(602) 555-6141,(602) 555-6232,
30142,Jack R. Jr.,Kostantaras,1100 Milwaukee Avenue,South Milwaukee,WI,53172,(414) 555-4031,(414) 555-4047,
30144,Terrence,Gerson,2155 Monroe Drive Northeast,Washington,DC,20005,(202) 555-9539,(202) 555-9606,
30147,Patrick J.,Townes,5555 West 78Th Street,Edina,MN,55439,(612) 555-1891,(612) 555-1950,
30148,Frank A.,Montrone,1400 Page Mill Road,Palo Alto,CA,94304,(415) 555-2429,(415) 555-2481,
30153,Robert,Choate,150 Marcus Boulevard,Hauppauge,NY,11788,(516) 555-7769,(516) 555-7793,
30155,Dennis P.,Crist,1328 Racine Street,Racine,WI,53403,(414) 555-4052,(414) 555-4151,
30158,Richard E.,Huff,300 Firebug Parkway,Westborough,MA,01581,(508) 555-7017,(508) 555-7057,
30163,John M.,Hart,3008 Monticello Boulevard,Cleveland Heights,OH,44118,(216) 555-4073,(216) 555-4091,
30164,Alex W.,Hill,11 Robinson Street,Pottstown,PA,19464,(610) 555-4629,(610) 555-4707,
30168,John D.,McMeel,2120 South 72Nd Street,Omaha,NE,68124,(402) 555-9213,(402) 555-9296,
30170,Lynn H.,Crosley,1000 East Main Street,Denver,CO,80222,(303) 555-9541,(303) 555-9553,
30174,L. H.,Harber,Nelson Place At Elm Hill,Nashville,TN,37214,(615) 555-9079,(615) 555-9147,5000
30177,Roger A.,Bauer,400 Cox Road,Gastonia,NC,28053,(704) 555-6753,(704) 555-6826,
30183,James D.,Garcia,102 Westside Boulevard,North West Roanoke,VA,24017,(703) 555-1909,(703) 555-2007,
30186,Robert R.,Graf,100 Borland Way,Scotts Valley,CA,95066,(408) 555-1066,(408) 555-1125,
30190,Clifford M.,Tobin,1275 Wampanoag Trail,East Providence,RI,2915,(401) 555-5537,(401) 555-5541,
30193,John J.,Bluhm,5600 Beech Tree Lane,Caledonia,MI,49316,(616) 555-3030,(616) 555-3043,
30195,Fred E.,Dargene,5310 Street Joseph Avenue,St Joseph,MO,64505,(816) 555-3227,(816) 555-3261,
30197,Jack,Riebman,26 North Cedar Street,Lititz,PA,17543,(717) 555-4758,(717) 555-4801,
30201,C. J.,Gilburne,7575 Market Place Drive,Eden Prairie,MN,55344,(612) 555-1105,(612) 555-1141,
30205,Ann M.,Dattillo,411 First Avenue South,Seattle,WA,98104,(206) 555-5556,(206) 555-5643,
30206,W. Phil,Gordon,One Rollins Plaza,Wilmington,DE,19803,(302) 555-2760,(302) 555-2775,5000
30211,Alan R.,Weir,9135 Guilford Road,Columbia,MD,21046,(410) 555-9151,(410) 555-9231,
30212,Jerry,Choong,733 South West Street,Indianapolis,IN,46225,(317) 555-6762,(317) 555-6805,5000
30217,Julian N.,Brown,3108 Central Drive,Plant City,FL,33567,(813) 555-4729,(813) 555-4794,
30221,Andrew R.,Bianco,1400 Mcdonald Investment,Cleveland,OH,44114,(216) 555-2368,(216) 555-2393,1000
30225,Neil G.,Woltz,Dain Bosworth Plaza,Pleasanton,CA,94588,(510) 555-6208,(510) 555-6299,10000
30228,William R.,Fancher,Hermitage Square,Hermitage,PA,16148,(412) 555-6028,(412) 555-6029,5000
30231,Robert R.,Gray,1100 Corporate Square Drive,St Louis,MO,63132,(314) 555-7041,(314) 555-7105,5000
30234,Carl J.,Devries,24 Federal Street,Boston,MA,02110,(617) 555-8263,(617) 555-8334,
30239,Lon V.,Menger,1650 Prudential Drive,Jacksonville,FL,32201,(904) 555-6656,(904) 555-6665,
30244,Joseph C.,Cain,Number One South Jersey Place,Folsom,NJ,08037,(609) 555-9017,(609) 555-9063,
30248,Paul G.,Bennett,8621 North Rockwell Avenue,Oklahoma City,OK,73132,(405) 555-6574,(405) 555-6635,
30249,D. S.,Wilkerson,501 Seventh Street,Rockford,IL,61104,(815) 555-2284,(815) 555-2343,
30250,Jeffrey A.,Diaz,2550 Huntington Avenue,Buffalo Grove,IL,60089,(708) 555-8327,(708) 555-8328,
30253,Michael E.,Niner,Mgic Plaza,Milwaukee,WI,53202,(414) 555-6492,(414) 555-6568,
